Disease,Treatment,Diagnosis,Symptoms,Disease_NER,Treatment_NER,Diagnosis_NER,Symptoms_NER
Leg Pain,"Treat cause (e.g., gabapentin 300 mg), exercise","Clinical exam, Doppler (if vascular), imaging","Aching, cramping, variable cause (e.g., vascular)","[{'text': 'Leg Pain', 'label': 'ENTITY', 'umls_cui': 'C0023222', 'umls_score': 0.963567316532135}]","[{'text': 'Treat', 'label': 'ENTITY', 'umls_cui': 'C1292734', 'umls_score': 0.9973037838935852}, {'text': 'cause', 'label': 'ENTITY', 'umls_cui': 'C0015127', 'umls_score': 0.9771540760993958}, {'text': 'gabapentin 300 mg', 'label': 'ENTITY', 'umls_cui': 'C1153761', 'umls_score': 0.9575299024581909}, {'text': 'exercise', 'label': 'ENTITY', 'umls_cui': 'C0015259', 'umls_score': 0.9731677770614624}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'Doppler', 'label': 'ENTITY', 'umls_cui': 'C0554756', 'umls_score': 0.9783632159233093}, {'text': 'vascular', 'label': 'ENTITY', 'umls_cui': 'C0005847', 'umls_score': 0.9888632297515869}, {'text': 'imaging', 'label': 'ENTITY', 'umls_cui': 'C0011923', 'umls_score': 0.9836204648017883}]","[{'text': 'Aching', 'label': 'ENTITY', 'umls_cui': 'C0234238', 'umls_score': 0.9886873364448547}, {'text': 'cramping', 'label': 'ENTITY', 'umls_cui': 'C0026821', 'umls_score': 0.9742493629455566}, {'text': 'variable cause', 'label': 'ENTITY', 'umls_cui': 'C0439828', 'umls_score': 0.7705274820327759}, {'text': 'vascular', 'label': 'ENTITY', 'umls_cui': 'C0005847', 'umls_score': 0.9888632297515869}]"
Achilles Tendinitis,"Rest, heel lifts, NSAIDs (naproxen 500 mg)","Clinical (tenderness), ultrasound (thickening)","Heel pain, stiffness, swelling, worse with activity","[{'text': 'Achilles', 'label': 'ENTITY', 'umls_cui': 'C0001074', 'umls_score': 0.9934661984443665}]","[{'text': 'Rest', 'label': 'ENTITY', 'umls_cui': 'C0035253', 'umls_score': 0.9951050877571106}, {'text': 'heel lifts', 'label': 'ENTITY', 'umls_cui': 'C0181620', 'umls_score': 0.7168823480606079}, {'text': 'NSAIDs', 'label': 'ENTITY', 'umls_cui': 'C0003211', 'umls_score': 0.9969343543052673}]","[{'text': 'Clinical', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.977976381778717}, {'text': 'tenderness', 'label': 'ENTITY', 'umls_cui': 'C0234233', 'umls_score': 0.9905914664268494}, {'text': 'ultrasound', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.9832558631896973}, {'text': 'thickening', 'label': 'ENTITY', 'umls_cui': 'C0205400', 'umls_score': 0.9699850678443909}]","[{'text': 'Heel pain', 'label': 'ENTITY', 'umls_cui': 'C0231780', 'umls_score': 0.9635152220726013}, {'text': 'stiffness', 'label': 'ENTITY', 'umls_cui': 'C1660792', 'umls_score': 0.8270248770713806}, {'text': 'swelling', 'label': 'ENTITY', 'umls_cui': 'C0013604', 'umls_score': 0.9542832970619202}, {'text': 'activity', 'label': 'ENTITY', 'umls_cui': 'C0026606', 'umls_score': 0.9921815991401672}]"
Middle East Respiratory Syndrome,"Supportive care, oxygen, isolation","RTPCR (MERSCoV), chest Xray (pneumonia)","Fever, cough, dyspnea, camel exposure","[{'text': 'Middle East Respiratory Syndrome', 'label': 'ENTITY', 'umls_cui': 'C3694279', 'umls_score': 0.9833239316940308}]","[{'text': 'Supportive care', 'label': 'ENTITY', 'umls_cui': 'C0344211', 'umls_score': 0.9841068983078003}, {'text': 'oxygen', 'label': 'ENTITY', 'umls_cui': 'C0030054', 'umls_score': 0.9706076383590698}, {'text': 'isolation', 'label': 'ENTITY', 'umls_cui': 'C0204727', 'umls_score': 0.9708646535873413}]","[{'text': 'RTPCR', 'label': 'ENTITY', 'umls_cui': 'C0599161', 'umls_score': 0.9960041046142578}, {'text': 'MERSCoV', 'label': 'ENTITY'}, {'text': 'chest Xray', 'label': 'ENTITY', 'umls_cui': 'C0024867', 'umls_score': 0.8543890118598938}, {'text': 'pneumonia', 'label': 'ENTITY', 'umls_cui': 'C0032285', 'umls_score': 0.9826633930206299}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'cough', 'label': 'ENTITY', 'umls_cui': 'C0010200', 'umls_score': 0.9633718132972717}, {'text': 'dyspnea', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9835606217384338}, {'text': 'camel exposure', 'label': 'ENTITY', 'umls_cui': 'C0332157', 'umls_score': 0.7565629482269287}]"
Gluteal Injury,"Rest, ice, physical therapy, pain relief","Clinical exam, MRI (if severe), Xray (fracture)","Buttock pain, bruising, limited motion","[{'text': 'Gluteal Injury', 'label': 'ENTITY'}]","[{'text': 'Rest', 'label': 'ENTITY', 'umls_cui': 'C0035253', 'umls_score': 0.9951050877571106}, {'text': 'ice', 'label': 'ENTITY', 'umls_cui': 'C0020746', 'umls_score': 0.9746212959289551}, {'text': 'physical therapy', 'label': 'ENTITY', 'umls_cui': 'C0699718', 'umls_score': 0.9791001081466675}, {'text': 'pain relief', 'label': 'ENTITY', 'umls_cui': 'C0451615', 'umls_score': 0.959702730178833}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}, {'text': 'Xray (fracture', 'label': 'ENTITY'}]","[{'text': 'Buttock pain', 'label': 'ENTITY', 'umls_cui': 'C0231710', 'umls_score': 0.9728925228118896}, {'text': 'bruising', 'label': 'ENTITY', 'umls_cui': 'C0009938', 'umls_score': 0.9562113285064697}]"
Xerosis,"Moisturizers (ceramidebased), urea cream (10%)","Clinical exam, rule out thyroid/atopy, history","Dry, flaky skin, itching, cracking","[{'text': 'Xerosis', 'label': 'ENTITY', 'umls_cui': 'C0259817', 'umls_score': 0.9639093279838562}]","[{'text': 'Moisturizers', 'label': 'ENTITY', 'umls_cui': 'C2189068', 'umls_score': 0.7326391935348511}, {'text': 'ceramidebased', 'label': 'ENTITY'}, {'text': 'urea cream', 'label': 'ENTITY', 'umls_cui': 'C0357915', 'umls_score': 0.9900249242782593}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'history', 'label': 'ENTITY', 'umls_cui': 'C0019664', 'umls_score': 0.994277834892273}]","[{'text': 'Dry', 'label': 'ENTITY', 'umls_cui': 'C0011682', 'umls_score': 0.9664229154586792}, {'text': 'flaky skin', 'label': 'ENTITY', 'umls_cui': 'C4330215', 'umls_score': 0.810896635055542}, {'text': 'itching', 'label': 'ENTITY', 'umls_cui': 'C0033774', 'umls_score': 0.9587393403053284}, {'text': 'cracking', 'label': 'ENTITY', 'umls_cui': 'C0221245', 'umls_score': 0.8368022441864014}]"
Inflammatory Bowel Disease (IBD),"Mesalamine (2.4 g daily), infliximab (5 mg/kg IV)","Colonoscopy (ulcers), biopsy, fecal calprotectin","Diarrhea, abdominal pain, weight loss, fatigue","[{'text': 'Inflammatory Bowel Disease', 'label': 'ENTITY', 'umls_cui': 'C0021390', 'umls_score': 0.9786964654922485}, {'text': 'IBD', 'label': 'ENTITY', 'umls_cui': 'C0021390', 'umls_score': 0.9907935261726379}]","[{'text': 'Mesalamine', 'label': 'ENTITY', 'umls_cui': 'C0127615', 'umls_score': 0.9677781462669373}, {'text': 'infliximab', 'label': 'ENTITY', 'umls_cui': 'C0666743', 'umls_score': 0.9700607657432556}]","[{'text': 'Colonoscopy', 'label': 'ENTITY', 'umls_cui': 'C0009378', 'umls_score': 0.9911046028137207}, {'text': 'ulcers', 'label': 'ENTITY', 'umls_cui': 'C0041582', 'umls_score': 0.9872905611991882}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'fecal calprotectin', 'label': 'ENTITY', 'umls_cui': 'C0950624', 'umls_score': 0.816824734210968}]","[{'text': 'Diarrhea', 'label': 'ENTITY', 'umls_cui': 'C0011991', 'umls_score': 0.9832403063774109}, {'text': 'abdominal pain', 'label': 'ENTITY', 'umls_cui': 'C0000737', 'umls_score': 0.970135509967804}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}]"
Teething,"Teething rings, acetaminophen (15 mg/kg PRN)","Clinical (erupting teeth), exam, history","Drooling, irritability, gum swelling (infants)",[],"[{'text': 'Teething', 'label': 'ENTITY', 'umls_cui': 'C0039437', 'umls_score': 0.9595154523849487}, {'text': 'rings', 'label': 'ENTITY', 'umls_cui': 'C1260969', 'umls_score': 0.9585816264152527}, {'text': 'acetaminophen', 'label': 'ENTITY', 'umls_cui': 'C0000970', 'umls_score': 0.9949501156806946}, {'text': 'PRN', 'label': 'ENTITY'}]","[{'text': 'Clinical', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.977976381778717}, {'text': 'erupting', 'label': 'ENTITY', 'umls_cui': 'C0015230', 'umls_score': 0.7319815158843994}, {'text': 'teeth', 'label': 'ENTITY', 'umls_cui': 'C0040426', 'umls_score': 0.9633482694625854}, {'text': 'exam', 'label': 'ENTITY', 'umls_cui': 'C0582103', 'umls_score': 0.9889279007911682}, {'text': 'history', 'label': 'ENTITY', 'umls_cui': 'C0019664', 'umls_score': 0.994277834892273}]","[{'text': 'Drooling', 'label': 'ENTITY', 'umls_cui': 'C0013132', 'umls_score': 0.9694957137107849}, {'text': 'irritability', 'label': 'ENTITY', 'umls_cui': 'C0022107', 'umls_score': 0.9875359535217285}, {'text': 'gum swelling', 'label': 'ENTITY', 'umls_cui': 'C0235324', 'umls_score': 0.9530618190765381}, {'text': 'infants', 'label': 'ENTITY', 'umls_cui': 'C0021270', 'umls_score': 0.9647191762924194}]"
Ascaris,"Albendazole (400 mg single dose), supportive","Stool ova (Ascaris lumbricoides), CBC (eosinophilia)","Cough, abdominal pain, worms in stool",[],"[{'text': 'Albendazole', 'label': 'ENTITY', 'umls_cui': 'C0001911', 'umls_score': 0.9813534021377563}, {'text': 'single dose', 'label': 'ENTITY', 'umls_cui': 'C1710088', 'umls_score': 0.8483272790908813}]","[{'text': 'Stool ova', 'label': 'ENTITY', 'umls_cui': 'C0015733', 'umls_score': 0.7748137712478638}, {'text': 'Ascaris lumbricoides', 'label': 'ENTITY', 'umls_cui': 'C0003955', 'umls_score': 0.9837087988853455}, {'text': 'CBC', 'label': 'ENTITY', 'umls_cui': 'C0009555', 'umls_score': 0.9881873726844788}, {'text': 'eosinophilia', 'label': 'ENTITY', 'umls_cui': 'C0014457', 'umls_score': 0.9757422804832458}]","[{'text': 'Cough', 'label': 'ENTITY', 'umls_cui': 'C0010200', 'umls_score': 0.9633718132972717}, {'text': 'abdominal pain', 'label': 'ENTITY', 'umls_cui': 'C0000737', 'umls_score': 0.970135509967804}, {'text': 'worms', 'label': 'ENTITY', 'umls_cui': 'C0018889', 'umls_score': 0.9830294251441956}, {'text': 'stool', 'label': 'ENTITY', 'umls_cui': 'C0015733', 'umls_score': 0.9800705909729004}]"
Renal Angiomyolipoma,"Embolization, everolimus (10 mg daily), monitor","CT (fatcontaining), ultrasound, TSC link","Flank pain, hematuria, mass, often asymptomatic","[{'text': 'Renal Angiomyolipoma', 'label': 'ENTITY', 'umls_cui': 'C0241961', 'umls_score': 0.9640682935714722}]","[{'text': 'Embolization', 'label': 'ENTITY', 'umls_cui': 'C0013931', 'umls_score': 0.9563416838645935}, {'text': 'everolimus', 'label': 'ENTITY', 'umls_cui': 'C0541315', 'umls_score': 0.981131911277771}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'CT', 'label': 'ENTITY', 'umls_cui': 'C0009778', 'umls_score': 0.9904136657714844}, {'text': 'fatcontaining', 'label': 'ENTITY', 'umls_cui': 'C2700400', 'umls_score': 0.7993605732917786}, {'text': 'ultrasound', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.9832558631896973}, {'text': 'TSC', 'label': 'ENTITY', 'umls_cui': 'C0041341', 'umls_score': 0.9979768991470337}]","[{'text': 'Flank pain', 'label': 'ENTITY', 'umls_cui': 'C0016199', 'umls_score': 0.9763967990875244}, {'text': 'hematuria', 'label': 'ENTITY', 'umls_cui': 'C0018965', 'umls_score': 0.9939060807228088}, {'text': 'mass', 'label': 'ENTITY', 'umls_cui': 'C0577559', 'umls_score': 0.9943845272064209}, {'text': 'asymptomatic', 'label': 'ENTITY', 'umls_cui': 'C0231221', 'umls_score': 0.9688202142715454}]"
CMV Gastroenteritis,"Ganciclovir (5 mg/kg IV), treat underlying","Biopsy (owl’s eye), CMV PCR (blood), endoscopy","Diarrhea, abdominal pain, fever, immunocompromised","[{'text': 'CMV', 'label': 'ENTITY', 'umls_cui': 'C0010823', 'umls_score': 0.9955881834030151}, {'text': 'Gastroenteritis', 'label': 'ENTITY', 'umls_cui': 'C0017160', 'umls_score': 0.9709085822105408}]","[{'text': 'Ganciclovir', 'label': 'ENTITY', 'umls_cui': 'C0017066', 'umls_score': 0.9895299077033997}, {'text': 'treat', 'label': 'ENTITY', 'umls_cui': 'C1292734', 'umls_score': 0.9973037838935852}]","[{'text': 'Biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'CMV PCR', 'label': 'ENTITY', 'umls_cui': 'C0010823', 'umls_score': 0.7039871215820312}, {'text': 'blood', 'label': 'ENTITY', 'umls_cui': 'C0005767', 'umls_score': 0.9994040131568909}, {'text': 'endoscopy', 'label': 'ENTITY', 'umls_cui': 'C0014245', 'umls_score': 0.9926842451095581}]","[{'text': 'Diarrhea', 'label': 'ENTITY', 'umls_cui': 'C0011991', 'umls_score': 0.9832403063774109}, {'text': 'abdominal pain', 'label': 'ENTITY', 'umls_cui': 'C0000737', 'umls_score': 0.970135509967804}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'immunocompromised', 'label': 'ENTITY', 'umls_cui': 'C0085393', 'umls_score': 0.9860458374023438}]"
Malignant Disease,"Surgery, chemotherapy (e.g., cisplatin), radiation","Biopsy (cancer), imaging (CT/MRI), markers","Mass, weight loss, pain, organ dysfunction","[{'text': 'Malignant Disease', 'label': 'ENTITY', 'umls_cui': 'C0442867', 'umls_score': 0.9864153861999512}]","[{'text': 'Surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}, {'text': 'chemotherapy', 'label': 'ENTITY', 'umls_cui': 'C0013216', 'umls_score': 0.9887933135032654}, {'text': 'cisplatin', 'label': 'ENTITY', 'umls_cui': 'C0008838', 'umls_score': 0.9732010960578918}, {'text': 'radiation', 'label': 'ENTITY', 'umls_cui': 'C0034519', 'umls_score': 0.973841667175293}]","[{'text': 'Biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'cancer', 'label': 'ENTITY', 'umls_cui': 'C0006826', 'umls_score': 0.9914878010749817}, {'text': 'imaging', 'label': 'ENTITY', 'umls_cui': 'C0011923', 'umls_score': 0.9836204648017883}, {'text': 'CT/MRI', 'label': 'ENTITY'}, {'text': 'markers', 'label': 'ENTITY', 'umls_cui': 'C2745888', 'umls_score': 0.9845821261405945}]","[{'text': 'Mass', 'label': 'ENTITY', 'umls_cui': 'C0577559', 'umls_score': 0.9943845272064209}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'pain', 'label': 'ENTITY', 'umls_cui': 'C0030193', 'umls_score': 0.9754149913787842}, {'text': 'organ dysfunction', 'label': 'ENTITY', 'umls_cui': 'C3494458', 'umls_score': 0.8567581176757812}]"
Gynecomastia,"Observation, tamoxifen (10 mg daily), surgery","Clinical exam, ultrasound, labs (testosterone)","Breast enlargement, tenderness, asymmetry","[{'text': 'Gynecomastia', 'label': 'ENTITY', 'umls_cui': 'C0018418', 'umls_score': 0.973443329334259}]","[{'text': 'Observation', 'label': 'ENTITY', 'umls_cui': 'C0302523', 'umls_score': 0.9607546329498291}, {'text': 'tamoxifen', 'label': 'ENTITY', 'umls_cui': 'C0039286', 'umls_score': 0.9778705835342407}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'ultrasound', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.9832558631896973}, {'text': 'labs', 'label': 'ENTITY', 'umls_cui': 'C0587081', 'umls_score': 0.986388087272644}, {'text': 'testosterone', 'label': 'ENTITY', 'umls_cui': 'C0039601', 'umls_score': 0.9883452653884888}]","[{'text': 'Breast enlargement', 'label': 'ENTITY', 'umls_cui': 'C0020565', 'umls_score': 0.9642650485038757}, {'text': 'tenderness', 'label': 'ENTITY', 'umls_cui': 'C0234233', 'umls_score': 0.9905914664268494}, {'text': 'asymmetry', 'label': 'ENTITY', 'umls_cui': 'C0332514', 'umls_score': 0.9711199402809143}]"
Wheezing,"Albuterol (2.5 mg nebulized), treat cause (e.g., asthma)","Clinical (lung sounds), spirometry, chest Xray","Highpitched breathing, dyspnea, cough",[],"[{'text': 'Albuterol', 'label': 'ENTITY', 'umls_cui': 'C0001927', 'umls_score': 0.9752848744392395}, {'text': 'nebulized', 'label': 'ENTITY', 'umls_cui': 'C1549531', 'umls_score': 0.9735028743743896}, {'text': 'treat', 'label': 'ENTITY', 'umls_cui': 'C1292734', 'umls_score': 0.9973037838935852}, {'text': 'cause', 'label': 'ENTITY', 'umls_cui': 'C0015127', 'umls_score': 0.9771540760993958}, {'text': 'asthma', 'label': 'ENTITY', 'umls_cui': 'C0004096', 'umls_score': 0.970723569393158}]","[{'text': 'Clinical', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.977976381778717}, {'text': 'lung sounds', 'label': 'ENTITY', 'umls_cui': 'C0035234', 'umls_score': 0.9856062531471252}, {'text': 'spirometry', 'label': 'ENTITY', 'umls_cui': 'C0037981', 'umls_score': 0.9782983660697937}, {'text': 'chest Xray', 'label': 'ENTITY', 'umls_cui': 'C0024867', 'umls_score': 0.8543890118598938}]","[{'text': 'Highpitched breathing', 'label': 'ENTITY'}, {'text': 'dyspnea', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9835606217384338}, {'text': 'cough', 'label': 'ENTITY', 'umls_cui': 'C0010200', 'umls_score': 0.9633718132972717}]"
Palmar Fibromatosis,"Surgery (fasciectomy), collagenase injection","Clinical (Dupuytrenlike), ultrasound, exam","Hand nodules, contractures, painless","[{'text': 'Palmar Fibromatosis', 'label': 'ENTITY', 'umls_cui': 'C0013312', 'umls_score': 0.9843264818191528}]","[{'text': 'fasciectomy', 'label': 'ENTITY', 'umls_cui': 'C0185188', 'umls_score': 0.9790393114089966}, {'text': 'collagenase injection', 'label': 'ENTITY', 'umls_cui': 'C0162745', 'umls_score': 0.7293612360954285}]","[{'text': 'Clinical (', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.9220449328422546}, {'text': 'Dupuytrenlike', 'label': 'ENTITY'}, {'text': 'ultrasound', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.9832558631896973}]","[{'text': 'Hand nodules', 'label': 'ENTITY', 'umls_cui': 'C0028259', 'umls_score': 0.7842043042182922}, {'text': 'contractures', 'label': 'ENTITY', 'umls_cui': 'C0009917', 'umls_score': 0.9932957291603088}, {'text': 'painless', 'label': 'ENTITY', 'umls_cui': 'C0234226', 'umls_score': 0.9535903930664062}]"
Sialoadenitis,"Antibiotics (amoxicillin 500 mg), massage, hydration","Ultrasound (stone/inflammation), culture, sialography","Salivary gland swelling, pain, dry mouth","[{'text': 'Sialoadenitis', 'label': 'ENTITY', 'umls_cui': 'C0037023', 'umls_score': 0.9770524501800537}]","[{'text': 'Antibiotics', 'label': 'ENTITY', 'umls_cui': 'C0003232', 'umls_score': 0.9689207077026367}, {'text': 'amoxicillin', 'label': 'ENTITY', 'umls_cui': 'C0002645', 'umls_score': 0.9741423726081848}, {'text': 'massage', 'label': 'ENTITY', 'umls_cui': 'C0024875', 'umls_score': 0.977128267288208}, {'text': 'hydration', 'label': 'ENTITY', 'umls_cui': 'C1321013', 'umls_score': 0.9771467447280884}]","[{'text': 'Ultrasound (', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.9374977350234985}, {'text': 'stone/inflammation', 'label': 'ENTITY', 'umls_cui': 'C0021368', 'umls_score': 0.7383236289024353}, {'text': 'culture', 'label': 'ENTITY', 'umls_cui': 'C0010453', 'umls_score': 0.976164698600769}, {'text': 'sialography', 'label': 'ENTITY', 'umls_cui': 'C1659593', 'umls_score': 0.996614933013916}]","[{'text': 'Salivary gland', 'label': 'ENTITY', 'umls_cui': 'C0036098', 'umls_score': 0.9857193827629089}, {'text': 'swelling', 'label': 'ENTITY', 'umls_cui': 'C0013604', 'umls_score': 0.9542832970619202}, {'text': 'pain', 'label': 'ENTITY', 'umls_cui': 'C0030193', 'umls_score': 0.9754149913787842}, {'text': 'dry mouth', 'label': 'ENTITY', 'umls_cui': 'C0043352', 'umls_score': 0.9783698320388794}]"
Nutcracker Esophagus,"Calcium channel blockers (diltiazem 60 mg), nitrates","Manometry (hypercontractility), barium swallow","Chest pain, dysphagia, highpressure swallows","[{'text': 'Nutcracker', 'label': 'ENTITY', 'umls_cui': 'C0326414', 'umls_score': 0.9677554965019226}]","[{'text': 'Calcium channel blockers', 'label': 'ENTITY', 'umls_cui': 'C0006684', 'umls_score': 0.9826613068580627}, {'text': 'diltiazem', 'label': 'ENTITY', 'umls_cui': 'C0012373', 'umls_score': 0.9788800477981567}, {'text': 'nitrates', 'label': 'ENTITY', 'umls_cui': 'C0028125', 'umls_score': 0.9841923713684082}]","[{'text': 'Manometry', 'label': 'ENTITY', 'umls_cui': 'C0024751', 'umls_score': 0.9921271204948425}, {'text': 'hypercontractility', 'label': 'ENTITY'}, {'text': 'barium swallow', 'label': 'ENTITY', 'umls_cui': 'C0203065', 'umls_score': 0.97282874584198}]","[{'text': 'Chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'dysphagia', 'label': 'ENTITY', 'umls_cui': 'C0011168', 'umls_score': 0.980331540107727}, {'text': 'highpressure swallows', 'label': 'ENTITY'}]"
Juvenile Absence Epilepsy,"Ethosuximide (250 mg twice daily), valproate","EEG (3 Hz spikewave), clinical history","Staring spells, brief unresponsiveness, childhood","[{'text': 'Juvenile Absence Epilepsy', 'label': 'ENTITY', 'umls_cui': 'C4317339', 'umls_score': 0.9814377427101135}]","[{'text': 'Ethosuximide', 'label': 'ENTITY', 'umls_cui': 'C0015043', 'umls_score': 0.9579936861991882}, {'text': 'valproate', 'label': 'ENTITY', 'umls_cui': 'C0080356', 'umls_score': 0.969538688659668}]","[{'text': 'EEG', 'label': 'ENTITY', 'umls_cui': 'C0013819', 'umls_score': 0.9928258061408997}, {'text': 'clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}]","[{'text': 'Staring spells', 'label': 'ENTITY', 'umls_cui': 'C2019869', 'umls_score': 0.9741976261138916}, {'text': 'brief unresponsiveness', 'label': 'ENTITY', 'umls_cui': 'C0020963', 'umls_score': 0.7332924008369446}, {'text': 'childhood', 'label': 'ENTITY', 'umls_cui': 'C0231335', 'umls_score': 0.9773955941200256}]"
